电影名,导演,编剧,演员,类型,电影时长(分钟),上映时间(年),评分,票房,发行公司,制片公司
生活大爆炸 第九季 The Big Bang Theory Season 9,马克·森卓斯基,"查克·罗瑞,比尔·布拉迪","约翰尼·盖尔克奇,吉姆·帕森斯,凯莉·库柯,西蒙·赫尔伯格,昆瑙·内亚,梅丽莎·劳奇,马伊姆·拜力克,凯文·苏斯曼,劳拉·斯宾塞",喜剧,120,2015,9.1,0.0,暂无发行公司,暂无制片公司
意外空间 El Incidente,伊萨克·厄兹本,伊萨克·厄兹本,"胡伯托·巴斯托,Erick Trinidad Camacho,Santiago Mendoza Cortes,Adrián Ladrón de Guevara,Enrique Mendoza,埃尔南·门多萨,劳尔·门德兹",科幻,100,2014,7.6,0.0,暂无发行公司,暂无制片公司
蜀山战纪之剑侠传奇,黄伟杰,"马焱,李晶凌,江莱,林俐颖","赵丽颖,陈伟霆,吴奇隆,叶祖新,刘思彤,樊少皇,张天霖,高伟光,贾晓晨,文咏珊,刘心悠,刘洋,韩雨芹,汪汐潮,吴华新,李进荣,魏春光,何润东,宗峰岩",武侠,120,2015,6.1,0.0,暂无发行公司,暂无制片公司
绿灯侠 Green Lantern,马丁·坎贝尔,"格里格·伯兰蒂,Michael Goldenberg,Michael Green,马克·古根海姆","瑞恩·雷诺兹,布蕾克·莱弗利,彼得·萨斯加德,马克·斯特朗,特穆拉·莫里森,珍娜·克莱格,乔恩·坦尼,蒂姆·罗宾斯,杰弗里·拉什,安吉拉·贝塞特,杰伊·桑德斯,塔伊加·维迪提",动作,114,2011,5.9,0.0,暂无发行公司,暂无制片公司
明月几时有,许鞍华,何冀平,"周迅,彭于晏,霍建华,叶德娴,郭涛,春夏,黄志忠,蒋雯丽,梁家辉,王菀之,吕良伟,鲍起静,李灿森,梁文道,张兆辉,冯淬帆,苑琼丹,唐宁,卢巧音,许鞍华,永濑正敏,森田凉花,廖骏雄,何华超,蔡瀚亿,欧锦棠,熊欣欣,吴岱融",剧情,130,2017,6.9,6341.6,"上海博纳文化传媒有限公司 Shanghai Bona Media Co.,Ltd /华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd","上海腾讯企鹅影视文化传播有限公司 Shanghai Tencent Penguin Pictures Co.,Ltd/上海东方娱乐传媒集团有限公司 Shanghai Media Group Limited/一壹传媒集团有限公司 Yiyi Media Group Co.,Ltd/博纳影视娱乐有限公司 Bona Entertainment Co.,Ltd/上海博纳文化传媒有限公司 Shanghai Bona Media Co.,Ltd "
小时代3：刺金时代,郭敬明,郭敬明,"杨幂,柯震东,郭采洁,陈学冬,郭碧婷,谢依霖,李贤宰,锦荣,任言恺,王琳,姜潮,商侃,杜天皓",剧情,126,2014,4.5,52156.1,乐创文娱,"和力辰光国际文化传媒（北京）股份有限公司  Heli Chen'guang International Media Co.,Ltd/浙江华策影视股份有限公司  Zhejiang Huace Film &amp; TV Co., Ltd/乐创文娱 Le Vision Pictures (Beijing) Co.,Ltd/浙江东阳天娱影视文化有限公司 Zhejiang Dongyang Tianyu Entertainment Co.,Ltd/上海天娱传媒有限公司 Shanghai EE Media  Co.,Ltd/上海东方娱乐传媒集团有限公司 Shanghai Media Group Limited/可米必富影视文化（北京）有限公司 KeMi BiFu film and TV culture (Beijing) Co., LTD/北京中联传动影视文化有限公司 Beijing Zhonglian Chuandong Entertainment Co.,Ltd /北京儒意欣欣影业投资有限公司 Beijing Ruyi Xinxin Film Investment Co.,Ltd/山东嘉博文化发展有限公司 Shandong Jiabo Media Co.,Ltd /上海最世文化发展有限公司 Shanghai Zestful Unique Ideal Media Co.,Ltd /北京麦特文化发展有限公司 Beijing MaxTimes Culture Development Co., Ltd. /麦颂影视投资（上海）有限公司 Maisong Entertainment  Investment（Shanghai） Co.,Ltd"
霹雳奇幻 生死一剑 Thunderbolt Fantasy 生死一劍,虚渊玄,"虚渊玄,江波光则","鸟海浩辅,诹访部顺一,桧山修之,千叶一伸,安元洋贵,大川透,户松遥,小山力也,佐佐木义人,拜真之介,福西胜也,巴多利胜悟,西川贵教,鹤冈聪,黄文择,新垣樽助,高垣彩阳,速水奖,小西克幸,黄汇峰",动作,75,2017,8.0,0.0,暂无发行公司,暂无制片公司
调音师 Andhadhun,斯里兰姆·拉格万,"阿里吉特·比沙什,约戈什·查德卡尔,斯里兰姆·拉格万,赫曼斯·饶,普哈·拉达·瑟蒂,奥利维耶·特雷内 ","阿尤斯曼·库拉纳,塔布,拉迪卡·艾普特,安尔·德霍万,马纳夫·维吉,阿什维尼·卡尔塞卡,查亚·卡达姆,萨基尔·侯赛因,拉什米·阿格德卡,莫希尼·凯瓦拉曼",喜剧,139,2019,8.3,0.0,暂无发行公司,暂无制片公司
黑天鹅 Black Swan,达伦·阿伦诺夫斯基,"安德雷斯·海因斯,马克·海曼,约翰·J·麦克劳克林","娜塔莉·波特曼,米拉·库尼斯,文森特·卡索,芭芭拉·赫希,薇诺娜·瑞德,本杰明·米派德,克塞尼亚·索罗,克里斯汀娜·安娜波,詹妮特·蒙哥马利,塞巴斯蒂安·斯坦,托比·海明威,塞尔吉奥·托拉多,马克·马戈利斯,蒂娜·斯隆,亚伯拉罕·阿罗诺夫斯基,夏洛特·阿罗诺夫斯基,玛西娅·让·库尔茨,肖恩·奥哈根,克里斯托弗·加廷,黛博拉·奥夫纳,斯坦利·B·赫尔曼,库尔特·弗勒曼,帕特里克·赫辛格,莎拉·海伊",剧情,108,2010,8.6,0.0,暂无发行公司,暂无制片公司
再见，克里斯托弗·罗宾 Goodbye Christopher Robin,西蒙·柯蒂斯,"弗兰克·科特雷尔·博伊斯,西蒙·沃恩","多姆纳尔·格里森,玛格特·罗比,威尔·蒂尔斯顿,埃里克斯·劳瑟,凯莉·麦克唐纳,肖恩·丁沃,斯蒂芬·坎贝尔·莫尔,理查德·麦凯布,薇琪·佩珀代因,杰拉丁·萨莫维尔,菲比·沃勒-布里奇,马克·坦迪,理查德·迪克森,理查德·克里弗特,西蒙·威廉姆斯,罗伯特·波特尔",剧情,107,2017,7.8,0.0,暂无发行公司,暂无制片公司
天才少女 Gifted,马克·韦布,汤姆·弗林,"克里斯·埃文斯,麦肯娜·格瑞丝,琳赛·邓肯,珍妮·斯蕾特,奥克塔维亚·斯宾瑟,迈克尔·肯德尔·卡普兰,约翰·M·杰克逊,格伦·普拉默,约翰·芬,伊丽莎白·玛维尔,坎迪斯·B·哈里斯,乔恩·斯克拉夫,乔娜·肖,朱莉·安·埃默里,基尔·奥唐纳",剧情,101,2017,8.3,0.0,暂无发行公司,暂无制片公司
生死豪情 Courage Under Fire,爱德华·兹威克,Patrick Sheane Duncan,"丹泽尔·华盛顿,梅格·瑞恩,迈克尔·莫里亚蒂,马特·达蒙,西恩·奥斯汀,斯科特·格伦",动作,117,1996,7.6,0.0,暂无发行公司,暂无制片公司
夏日风暴 Sommersturm,马可·克罗伊茨派因特纳,"马可·克罗伊茨派因特纳,Thomas Bahmann","罗伯特·施塔德洛伯,科斯蒂亚·乌尔曼,艾丽卡·巴赫蕾达-库鲁斯,Jürgen Tonkel",剧情,98,2004,7.5,0.0,暂无发行公司,暂无制片公司
小鞋子 بچههای آسمان,马基德·马基迪,马基德·马基迪,"法拉赫阿米尔·哈什米安,默罕默德·阿米尔·纳吉,巴哈丽·西迪奇,纳菲丝·贾法-穆罕默迪,费雷什特·萨拉班迪,Kamal Mirkarimi,Behzad Rafi,Dariush Mokhtari,Mohammad-Hasan Hosseinian,Masume Dair,克里斯托弗·马利基",剧情,89,1997,9.2,0.0,暂无发行公司,暂无制片公司
移魂都市 Dark City,亚历克斯·普罗亚斯,"亚历克斯·普罗亚斯,莱姆·多布斯,大卫·S·高耶","卢夫斯·塞维尔,威廉·赫特,基弗·萨瑟兰,詹妮弗·康纳利",科幻,100,1998,7.9,0.0,暂无发行公司,暂无制片公司
