电影名,导演,编剧,演员,类型,电影时长(分钟),上映时间(年),评分,票房,发行公司,制片公司
四大名捕2,陈嘉上,"陈嘉上,陈淑贤,王思敏,谭广源,吕冠南,温瑞安","邓超,刘亦菲,邹兆龙,郑中基,黄秋生,江一燕,成泰燊,柳岩,吴秀波,邓萃雯,于承惠,包贝尔,向恬冉,吴映洁,刘俊纬,李子雄,张兆辉,周海媚,卢惠光,苗驰,曹炳琨,高天,刘子威,蒋浚赫,刘峰超,李紫菻,李欣烨,邱晔,李宛真,张煜雯",动作,118,2013,5.1,17429.3,暂无发行公司,"北京光线影业有限公司 Beijing Enlight Pictures Co.,Ltd"
杀戮演绎 The Act of Killing,约书亚·奥本海默,"Anwar Congo,Herman Koto,Syamsul Arifin,Ibrahim Sinik,Yapto Soerjosoemarno,Safit Pardede,Jusuf Kalla,Adi Zulkadry,Soaduon Siregar,Suryono,Haji Marzuki,Haji Anif,Rahmat Shah,Sakhyan Asmara,Sunardi","Anwar Congo,Herman Koto,Syamsul Arifin,Ibrahim Sinik,Yapto Soerjosoemarno,Safit Pardede,Jusuf Kalla,Adi Zulkadry,Soaduon Siregar,Suryono,Haji Marzuki,Haji Anif,Rahmat Shah,Sakhyan Asmara,Sunardi",纪录片,115,2012,8.3,0.0,暂无发行公司,暂无制片公司
时装店风波 Reine Geschmacksache,Ingo Rasper,"Ingo Rasper,Tom Streuber","埃德加·泽尔格,弗罗里安·巴西奥罗麦,罗曼·尼泽卡",喜剧,105,2007,7.2,0.0,暂无发行公司,暂无制片公司
马上双雄 Two Rode Together,约翰·福特,弗兰克·S·纽金特,"詹姆斯·斯图尔特,理查德·威德马克,雪莉·琼斯",西部,109,1961,7.0,0.0,暂无发行公司,暂无制片公司
星际穿越 Interstellar,克里斯托弗·诺兰,"乔纳森·诺兰,克里斯托弗·诺兰","马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,卡西·阿弗莱克,迈克尔·凯恩,马特·达蒙,麦肯吉·弗依,蒂莫西·柴勒梅德,艾伦·伯斯汀,约翰·利思戈,韦斯·本特利,大卫·吉亚西,比尔·欧文,托弗·戈瑞斯,科莱特·沃夫,弗朗西斯·X·麦卡蒂,安德鲁·博尔巴,乔什·斯图沃特,莱雅·卡里恩斯,利亚姆·迪金森,杰夫·赫普内尔,伊莱耶斯·加贝尔,布鲁克·史密斯,大卫·奥伊罗,威廉姆·德瓦内,拉什·费加,格里芬·弗雷泽,弗洛拉·诺兰",剧情,169,2014,9.3,0.0,暂无发行公司,暂无制片公司
猩球崛起 Rise of the Planet of the Apes,鲁伯特·瓦耶特,"里克·杰法,阿曼达·斯尔沃,皮埃尔·布尔","詹姆斯·弗兰科,安迪·瑟金斯,汤姆·费尔顿,芙蕾达·平托,布莱恩·考克斯,泰勒·莱伯恩,约翰·利思戈,卡琳·考诺娃,泰瑞·诺塔里,理查德·赖丁斯,克里斯托弗·戈登,德文·达尔顿,杰·卡普托,大卫·奥伊罗,杰米·哈里斯",剧情,105,2011,8.1,0.0,暂无发行公司,暂无制片公司
外出就餐2 Eating Out 2: Sloppy Seconds,Phillip J. Bartell,Phillip J. Bartell,"吉姆·维拉罗斯,Emily Brooke Hands,Nicholas James,布雷特·查克曼,马克·达珀",喜剧,79,2006,6.7,0.0,暂无发行公司,暂无制片公司
倭寇的踪迹,徐浩峰,徐浩峰,"于承惠,宋洋,赵圆圆,马君,徐鸥仪,马可,刘哲欣,姚未平,欧克勤,李桂生,薄冰,米娃·木拉提,肖勒娜依·艾尼,哈斯艳·叶尔肯,陈建兴,刘章印",剧情,108,2012,7.2,36.9,"中国电影集团公司 China Film Group Corporation/北京百世嘉文化有限公司 Beijing Baishijia Media Co.,Ltd/电广传媒影业(北京)有限公司 TIK Films（Beijing）Pictures Co.,Ltd","北京谷天文化传播有限公司  Beijing Gutian Media Co.,Ltd"
狼少年 늑대소년,赵圣熙,赵圣熙,"宋仲基,朴宝英,柳演锡,张荣男,金香起",爱情,124,2013,8.0,0.0,暂无发行公司,暂无制片公司
武庚纪 第二季,沈乐平,"沈乐平,郑健和,邓志辉","苏鑫,小连杀,袁国庆,黄莺,孙晔,林簌,翟巍,梁达伟,陶典,刘北辰,陈奕雯,钟巍",剧情,120,2017,7.6,0.0,暂无发行公司,暂无制片公司
蓝色大门 藍色大門,易智言,易智言,"陈柏霖,桂纶镁,梁又琳,仇政,明金成,林贤能,黄江丰,是元介,姚元浩,游智炜,翁桂邦,夏绍虞,陈梦萱",剧情,85,2002,8.3,0.0,暂无发行公司,暂无制片公司
海市蜃楼 Durante la tormenta,奥里奥尔·保罗,"奥里奥尔·保罗,拉拉·森迪姆","阿德里亚娜·乌加特,奇诺·达林,阿尔瓦罗·莫奇,诺拉·纳瓦斯,哈维尔·古铁雷斯,米格尔·费南德斯,克拉拉·塞古拉,米玛·里埃拉,艾娜·克洛特,阿尔伯特·佩雷斯,弗兰塞斯克·奥雷利亚,阿娜·瓦格纳,西尔维亚·阿隆索,贝伦·鲁埃达",科幻,128,2019,7.8,0.0,暂无发行公司,暂无制片公司
玩命速递：重启之战 The Transporter Refueled,卡米尔·狄拉玛,"亚当·库珀,比尔·科拉奇,吕克·贝松,罗伯特·马克·卡门","艾德·斯克林,雷·史蒂文森,洛安·沙巴诺尔,加布里埃拉·赖特,塔蒂阿娜·帕科维奇,拉蒂沃杰·布克维奇,诺米·勒努瓦,尤里·科洛科利尼科夫,莱恩·库德里亚维斯基,萨米尔·盖丝米,安纳托·陶布曼",动作,96,2015,6.0,0.0,暂无发行公司,暂无制片公司
灰姑娘的故事：圣诞愿望 A Cinderella Story: Christmas Wish,Michelle Johnston,Michelle Johnston,"劳拉·马兰洛,格雷格·萨克因,伊莎贝拉·戈麦兹,Maddie Phillips,香奈儿·佩洛索,乔安娜·纽马奇,Cassandra Naud,莉莲·道塞特-罗奇,Brittany Good,Sage Linder,Zac Vran",喜剧,85,2019,5.1,0.0,暂无发行公司,暂无制片公司
逗鸟外传：萌宝满天飞 Storks,尼古拉斯·斯托勒,尼古拉斯·斯托勒,"安迪·萨姆伯格,凯蒂·克朗,凯尔希·格兰莫,詹妮弗·安妮斯顿,泰·布利尔,安东·斯塔克曼,科甘-迈克尔·凯,乔丹·皮尔,丹尼·特雷霍,史蒂芬·克雷默·格利克曼,克里斯托弗·尼古拉斯·史密斯,奥卡菲娜,伊克·巴里霍尔兹,乔玛·塔科内,阿曼达·隆德",喜剧,87,2016,7.5,0.0,暂无发行公司,暂无制片公司
骡子 The Mule,克林特·伊斯特伍德,尼克·申克,"克林特·伊斯特伍德,布莱德利·库珀,劳伦斯·菲什伯恩,迈克尔·佩纳,黛安·韦斯特,安迪·加西亚,艾莉森·伊斯特伍德,泰莎·法米加,伊格纳西奥·塞利齐奥,劳恩·迪恩,尤金·科德罗,理查德·赫德,乔·奈泽维奇,维克多·罗塞克,罗伯特·拉萨多,诺尔·古格雷米,小克利夫顿·克林斯,丹尼尔·蒙卡达,保罗·阿拉约,卡里姆·J.格里梅斯,迭戈·卡塔诺,迪伦·库斯曼,皮特·布里斯,曼尼·蒙塔纳,洛博·塞巴斯蒂安,泰丝·马里斯·金凯德,贝琪·阿尔特林格,蒂莫西·卡尔,吉尔·弗林特,凯蒂·吉尔,杰伦·戈登,杰伊·古铁雷斯,塞西尔·M·亨利,雷·埃尔南德斯,肖恩·麦克米伦,德文·奥格登,帕蒂·舍尔哈斯",剧情,116,2019,8.0,0.0,暂无发行公司,暂无制片公司
赤壁(下),吴宇森,"吴宇森,盛和煜,陈汗,郭筝,罗贯中","梁朝伟,金城武,张丰毅,赵薇,佟大为,林志玲,张震,胡军,尤勇,中村狮童,宋佳,巴森,臧金生",动作,142,2009,6.4,24354.0,"安乐影片有限公司 EDKO Film Co.,Ltd/美亚娱乐资讯集团有限公司 Mei Ah Entertainment Co.,Ltd"," Avex Entertainment/北京电影制片厂 Beijing Film Studio/中国电影集团公司 China Film Group Corporation/狮子山制作有限公司 Lion Rock Productions/博纳影业集团股份有限公司 Bona Film Group/北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd/上海电影（集团）有限公司 Shanghai Film Group Co.,Ltd/成都传媒集团 Chengdu Media Group/香港橙天嘉禾娱乐（集团）有限公司 Hongkong Golden Harvest Entertainment Co.,Ltd/中凯世纪国际传媒（北京）有限公司 Zhongkai Shiji International Media（Beijing）Co., Ltd/北京广电影视传媒有限公司 Beijing Guangdian Entertainment Co.,Ltd/金英马影视文化股份有限公司 Jinyingma Film＆Television Culture Limited by Share Ltd/香港英皇影业有限公司 Emperor Motion Pictures/台湾中环国际娱乐事业股份有限公司 CMC Entertainment Holding Corporation/北京春秋时代文化有限公司 Beijing Chunqiu Time Culture Co.,Ltd"
爆炸性新闻,张珏,张珏 武斌 徐楠,赵奕欢,喜剧,120,2012,4.9,0.0,暂无发行公司,暂无制片公司
哆啦A梦：大雄的日本诞生 ドラえもん のび太の日本誕生,芝山努,藤子·F·不二雄,"大山信代,小原乃梨子,野村道子,立壁和也,肝付兼太",科幻,100,1989,8.4,0.0,暂无发行公司,暂无制片公司
邓迪少校 Major Dundee,萨姆·佩金帕,"Harry Julian Fink,奥斯卡·索尔,萨姆·佩金帕","查尔顿·赫斯顿,理查德·哈里斯,吉姆·哈顿,詹姆斯·柯本,小迈克尔·安德森,森塔·贝格尔",战争,123,1965,6.8,0.0,暂无发行公司,暂无制片公司
碟中谍2 Mission: Impossible II,吴宇森,"罗伯特·汤,罗纳德·D·摩尔,布兰农·布拉加,布鲁斯·盖勒","汤姆·克鲁斯,多格雷·斯科特,坦迪·牛顿,文·瑞姆斯,理查德·劳斯伯格,约翰·波尔森,布莱丹·格里森,拉德·舍博德兹加,威廉·麦鲍瑟,多米尼克·珀塞尔,尼古拉斯·贝尔,奇·陈,Christian Manon,Brett Partridge,艾丽森·阿拉亚,Caine,Ryder Davis,Alan Hennessy,安东尼·霍普金斯,派崔克·马柏,托莉·莫塞特",动作,123,2002,7.2,0.0,暂无发行公司,暂无制片公司
狗镇 Dogville,拉斯·冯·提尔,拉斯·冯·提尔,"妮可·基德曼,哈里特·安德森,劳伦·白考尔,保罗·贝坦尼,詹姆斯·肯恩,派翠西娅·克拉克森,杰瑞米·戴维斯,菲利普·贝克·霍尔,汤姆·霍夫曼,希芳·法隆,约翰·赫特,科洛·塞维尼,斯特兰·斯卡斯加德",剧情,178,2003,8.4,0.0,暂无发行公司,暂无制片公司
最好的朋友 Mi mejor amigo,马丁·迪乌斯,马丁·迪乌斯,"安杰洛·穆蒂·斯皮內塔,劳塔罗‧罗德里格斯,吉列尔莫·普宁,玛丽安娜·安希列里,本尼西奥·穆蒂·斯皮内塔,罗曼娜·亚历山德拉·古利奇,雷娜塔·利兹",剧情,90,2018,7.1,0.0,暂无发行公司,暂无制片公司
侏罗纪世界2 Jurassic World: Fallen Kingdom,J·A·巴亚纳,"科林·特雷沃罗,德里克·康纳利,迈克尔·克莱顿","克里斯·帕拉特,布莱丝·达拉斯·霍华德,贾斯蒂斯·史密斯,伊莎贝拉·瑟蒙,拉菲·斯波,托比·琼斯,泰德·拉文,詹姆斯·克伦威尔,黄荣亮,丹妮艾拉·皮内达,杰拉丁·卓别林,杰夫·高布伦,卡米尔·雷米泽斯基,丹尼尔·斯蒂森,皮特·杰森,迈克尔·帕帕约翰,罗伯特·埃姆斯,罗南·萨莫尔斯,麦克斯·贝克,丹尼尔·厄根,戴维·奥拉瓦莱·阿印德",动作,128,2018,6.7,0.0,暂无发行公司,暂无制片公司
一人之下 第一季,李豪凌,森满男,"田丸笃志,饭田友子,早见沙织,野岛健儿,立花慎之介,山口胜平,宫泽正,日笠阳子,三宅麻理惠,原由实,鸟海浩辅",喜剧,120,2016,8.8,0.0,暂无发行公司,暂无制片公司
希科克 Hickok,Timothy Woodward Jr.,Michael Lanahan,"卢克·海姆斯沃斯,特雷斯·阿德金斯,克里斯·克里斯托佛森,布鲁斯·邓恩,卡梅隆·理查德森,凯维·莱曼-默塞尤,罗伯特·卡特里尼,Manu Intiraymi,Jason Lively,Kimberly Alexander",西部,120,2017,4.8,0.0,暂无发行公司,暂无制片公司
纳什维尔 Nashville,罗伯特·奥特曼,琼·图克斯伯里,"大卫·阿金,芭芭拉·巴斯里,尼德·巴蒂,凯伦·布莱克,罗尼·布莱克利,蒂莫西·布朗,基思·卡拉丹,杰拉丁·卓别林,罗伯特·多奎,谢莉·杜瓦尔,艾伦·加菲尔德,亨利·吉布森,斯科特·格伦,杰夫·高布伦,芭芭拉·哈里斯,莉莉·汤姆林",剧情,159,1975,8.1,0.0,暂无发行公司,暂无制片公司
真田丸,木村隆文,三谷幸喜,"堺雅人,大泉洋,长泽雅美,草刈正雄,高畑淳子,木村佳乃,草笛光子,黑木华,藤本隆宏,中原丈雄,藤井隆,内野圣阳,近藤正臣,齐藤由贵,藤冈弘,吉田羊,高岛政伸,远藤宪一,西村雅彦,寺岛进,段田安则,平岳大,小日向文世,铃木京香,桂文枝,小林隆,竹内结子,山本耕史,片冈爱之助,新納慎也,中川大志,松冈茉优",剧情,120,2016,8.7,0.0,暂无发行公司,暂无制片公司
叶问2：宗师传奇,叶伟信,黄子桓,"甄子丹,洪金宝,熊黛林,黄晓明,樊少皇,郑则仕,敖嘉年,杜宇航,达伦·萨赫拉维,释小龙,任达华,郑家星,陆梅芳",动作,108,2010,7.3,23110.5,"中国电影集团公司 China Film Group Corporation/大盛国际传媒（北京）有限公司 Desen International Media (Beijing)/北京盛世华锐电影投资管理有限公司 Beijing Shengshi Huarui Films Investment Co.,Ltd","东方电影制作有限公司 Mandarin Films Co.,Ltd/大盛国际传媒（北京）有限公司 Desen International Media (Beijing)/北京盛世华锐电影投资管理有限公司 Beijing Shengshi Huarui Films Investment Co.,Ltd/星汇天姬（北京）电影投资有限公司 Star Union Skykee (Beijing) Film Investment Co.,Ltd/佛山传媒集团 Foshan Media Group/东阳腾远影视传媒有限公司 Dongyang Tengyuan Entertainment Co.,Ltd/北京百润星和文化传媒有限公司 Beijing Baron Stars Media Co.,Ltd/深圳海谷池投资有限公司 Shenzhen Haiguchi Investment Co.,Ltd/河南电影电视制作集团有限公司 Henan Film and Television Production Group Co.,Ltd/北京新影联影业有限责任公司 Beijing New Film Association Co,.Ltd"
鬼铃 폰,安兵基,河智苑,河智苑,剧情,100,2002,6.6,0.0,暂无发行公司,暂无制片公司
音为爱 SuckSeed ห่วยขั้นเทพ,查亚诺普·布恩帕拉科布,"查亚诺普·布恩帕拉科布,汤萨蓬·逖提拿坎,诺塔彭·邦帕卡布,Siwawut Sewatanon,Panayu Kunvanlee","吉拉育·拉翁马尼,帕查拉·奇拉锡瓦特,娜塔莎·劳佳姆,萨瓦特·博拉娜波拉特,纳帕·崇金达柴,甘·纯郝哇,Touchchavit Kunkrachang,Tossaporn Chertkeitkong,安瓦娜·蒙空莎麦,奔弘·奔提维此弓,Tanat Palakul,Warinthorn Makhornsirisri,Parnphirat Phadungcharoen,Thanachai Ujjin,Anon Saisangcharn,Ekarat Wongcharat,Artiwara Kongmalai,Tanachai Tantrakul,Tanadol Changsawek,Suchatti Janed,Ittipong Kridakorn Na Ayudhaya,功博·占乍伦,Natthanat Hiransomboon,Nipawan Taveepornsawan,Luckana Siriwong,Thitipan Kamplasiri,Kaewtip Saengol,Jutarmas Klongkitroj,Ben Khasagrid,埃迪森·特斯利卡森,Panayu Kunvanlee",喜剧,130,2011,7.3,0.0,暂无发行公司,暂无制片公司
秦颂,周晓文,芦苇,"姜文,葛优,许晴,戈治均,王庆祥,邸国强,李梦男",剧情,130,1996,7.6,0.0,暂无发行公司,暂无制片公司
钢铁侠3 Iron Man 3,沙恩·布莱克,"沙恩·布莱克,德鲁·皮尔斯,斯坦·李,唐·赫克,拉里·利伯,杰克·科比","小罗伯特·唐尼,盖·皮尔斯,格温妮斯·帕特洛,本·金斯利,唐·钱德尔,保罗·贝坦尼,丽贝卡·豪尔,乔恩·费儒,威廉姆·赛德勒,詹姆斯·戴尔,伊芳·齐玛,泰·辛普金斯,阿什利·汉弥尔顿,王学圻,范冰冰",动作,134,2013,7.8,0.0,暂无发行公司,暂无制片公司
最后的莫希干人 The Last of the Mohicans,迈克尔·曼,"迈克尔·曼,克里斯托弗·克劳","丹尼尔·戴-刘易斯,玛德琳·斯托,拉塞尔·敏斯,埃里克·施维克,乔迪·梅",爱情,112,1992,7.6,0.0,暂无发行公司,暂无制片公司
黑袍纠察队 第一季 The Boys Season 1,菲利浦·斯格里西亚,"加思·恩尼斯,埃文·戈德堡,艾力克·克莱普科","卡尔·厄本,艾琳·莫里亚蒂,杰克·奎德,安东尼·斯塔尔,多米妮克·麦克艾丽戈特,杰西·厄舍,切斯·克劳福,托默·卡蓬,凯伦·福原,内森·米切尔,伊丽莎白·苏,拉兹·阿隆索,詹妮弗·艾斯波西多,西蒙·佩吉,肖恩·本森,安·库萨克,克里斯蒂安·凯耶斯,杰丝·萨尔盖罗,妮卡·埃利奥特,阿历克斯·哈赛尔,米什卡·特博,乔丹娜·拉茹瓦,马尔科姆·巴雷特,布列塔尼·艾伦,吉安卡罗·埃斯波西托,尼古拉·科雷亚·达姆得,斯科特·汤普森·贝克,珊特尔·范圣滕,大卫·安德鲁,大卫·瑞勒,布雷丹·贝塞尔,约翰·道曼,海利·乔·奥斯蒙,莱拉·罗宾斯,比利·赞恩,贾登·马丁,保利诺·努内斯,克里斯塔·巴科,德什伊·帕达亚奇",动作,120,2019,8.6,0.0,暂无发行公司,暂无制片公司
风骚律师 第二季 Better Call Saul Season 2,托马斯·施纳泽,"文斯·吉里根,皮特·古尔德,托马斯·施纳泽,詹妮弗·哈金森,乔纳森·格拉泽,戈登·史密斯,安·彻基斯,希瑟·马里恩","鲍勃·奥登科克,乔纳森·班克斯,蕾亚·塞洪,帕特里克·法比安,迈克尔·曼多,迈克尔·麦基恩,小艾德·博格里,Mark Proksch,凯尔·柏海莫,Stoney Westmoreland,Jessie Ennis,Omar Maskati,Eileen Fogarty,艾利克斯·迪塞尔,Dave Racki",剧情,120,2016,9.4,0.0,暂无发行公司,暂无制片公司
夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～,大森贵弘,"绿川幸,村井贞之","神谷浩史,井上和彦,高良健吾,小林沙苗,藤村步,村濑步,伊藤美纪,伊藤荣次,堀江一真,佐藤利奈,木村良平,菅沼久义,泽城美雪,石田彰,雪野五月,川澄绫子,樋口晓里,冈村明美,黑田崇矢,长岛雄一,松山鹰志,下崎纮史,知桐京子,高冈瓶瓶,落合福嗣,金田晶,高桥伸也,松川裕辉,塙爱美,户松拳也,香里有佐,小田切茜,三谷绫子,小峠英二,西村瑞树,堀秀行,岛本须美",剧情,104,2019,8.0,0.0,暂无发行公司,暂无制片公司
蒙太奇 몽타주,郑根燮,郑根燮,"金相庆,严正化,宋永彰,曹熙奉,刘承睦,李俊赫,朴哲民,郑海钧",剧情,120,2013,8.1,0.0,暂无发行公司,暂无制片公司
魔法纪录：魔法少女小圆外传 マギアレコード 魔法少女まどか☆マギカ外伝,宫本幸裕,"穴井洋輔,小川楓","麻仓桃,雨宫天,夏川椎菜,佐仓绫音,小仓唯,悠木碧,加藤英美里,花泽香菜,小松未可子,大桥彩香,石原夏织,斋藤千和,水桥香织,宫下早纪,陶山恵実里,鸡冠井美智子,堀江由衣",剧情,120,2020,7.8,0.0,暂无发行公司,暂无制片公司
原野神驹 Wagon Master,约翰·福特,"弗兰克·S·纽金特,约翰·福特,Patrick Ford","Ben Johnson,乔安妮·德鲁,小哈里·凯瑞",剧情,86,1950,6.9,0.0,暂无发行公司,暂无制片公司
雷蒙纳多·乔 Limonádový Joe aneb Konská opera,奥德里奇·利普斯基,"奥德里奇·利普斯基,伊里·布尔德奇卡","卡雷尔·菲亚拉,米洛斯·科佩基,科维塔·菲亚洛娃",喜剧,99,1964,7.8,0.0,暂无发行公司,暂无制片公司
养家之人 The Breadwinner,诺拉·托梅,"安妮塔·多兰,黛博拉·伊莉丝","莎拉·乔德利,索玛·查亚,诺林·古拉姆高斯,拉腊·萨迪克,阿里·巴德沙阿,莎斯塔·拉蒂夫,坎扎·费里斯,卡瓦·阿达,凯恩·马洪,阿里·卡兹米,曼·沃尔克哈德,雷扎·索勒",剧情,94,2019,8.4,0.0,暂无发行公司,暂无制片公司
鬼怪 Ghosts,斯坦·温斯顿,"斯坦·温斯顿 Stan Winston,米克·加里斯,迈克尔·杰克逊,斯蒂芬·金","迈克尔·杰克逊,Pat Dade,Amy Smallman,Rey-Phillip Santos,Heather Ehlers,Kendall Cunningham,茅斯·达夫",恐怖,38,1997,9.3,0.0,暂无发行公司,暂无制片公司
寄生兽 生命的准则 寄生獣 セイの格率,清水健一,"米村正二,藤田伸三,岩明均","平野绫,岛崎信长,花泽香菜,吉野裕行,泽城美雪,田中敦子,安野希世乃,前田玲奈,笹井千恵子",剧情,120,2014,9.1,0.0,暂无发行公司,暂无制片公司
去日无痕 Gone Are the Days,Mark Landre Gould,Gregory M. Tucker,"兰斯·亨利克森,比利·鲁什,汤姆·贝伦杰,梅格·钱伯斯·斯蒂德尔,史蒂夫·雷尔斯巴克,丹尼·特雷霍",西部,99,2018,5.8,0.0,暂无发行公司,暂无制片公司
塞巴斯蒂安 Sebastiane,保罗·哈姆弗里斯,"保罗·哈姆弗里斯,德里克·贾曼,James Whaley","莱昂纳多·特雷维谬,Barney James,Neil Kennedy,理查德·沃里克,Donald Dunham,Ken Hicks,Janusz Romanov,Steffano Massari,Daevid Finbar,Gerald Incandela,Robert Medley,内尔·坎贝尔,彼得·欣伍德,Jordan,林赛·肯普,安德鲁·洛根,帕特里夏·奎因,Philip Sayer",剧情,86,1976,6.9,0.0,暂无发行公司,暂无制片公司
名侦探柯南：绀青之拳 名探偵コナン 紺青の拳,永冈智佳,"大仓崇裕,青山刚昌","高山南,山口胜平,山崎和佳奈,小山力也,绪方贤一,岩居由希子,高木涉,大谷育江,林原惠美,松井菜樱子,桧山修之,石井康嗣,浅川悠,高桥广树,梶裕贵,间宫康弘,林修,河北麻由子,山崎育三郎",动画,110,2019,5.9,0.0,暂无发行公司,暂无制片公司
斯巴达克斯 Spartacus,斯坦利·库布里克,"达尔顿·特朗勃,卡尔德·威灵汉姆","柯克·道格拉斯,劳伦斯·奥利弗,简·西蒙斯,查尔斯·劳顿,彼得·乌斯蒂诺夫,约翰·加文,尼娜·弗彻,托尼·柯蒂斯",剧情,184,1960,8.0,0.0,暂无发行公司,暂无制片公司
塔巴德 तुम्बाड,拉希·阿尼尔·巴夫,"米什·沙阿,阿德什·普拉萨德,拉希·阿尼尔·巴夫,安南·甘地,那拉扬·达尔普","索姆·沙,田蒂·马舍,安妮塔·戴特,朗吉·查克拉博蒂,迪普克·达姆利",剧情,104,2018,7.4,0.0,暂无发行公司,暂无制片公司
碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,克里斯托弗·麦奎里,"克里斯托弗·麦奎里,德鲁·皮尔斯,布鲁斯·盖勒","汤姆·克鲁斯,杰瑞米·雷纳,丽贝卡·弗格森,西蒙·佩吉,文·瑞姆斯,西恩·哈里斯,西蒙·迈克伯尼,汤姆·霍兰德,延斯·赫尔腾,亚历克·鲍德温,张静初,马特罗·鲁菲诺,费尔南多·阿巴迪,亚历克·乌特戈夫,赫敏·科菲尔德,奈吉尔·巴伯,William Roberts,巴纳巴斯·雷蒂,罗伯特‧马瑟,沃尔夫冈·施特格曼,阿美莉嘉·奥利沃,斯特拉·斯托克尔,劳伦斯·鲁波,沃尔夫冈·塞尔尼,Rupert Wickham,彼得·斯塔克,雷切尔·汉德肖,肖恩·克罗宁,亚森·阿图,明格斯·约翰斯顿,奥赛·伊克希尔,奈杰尔·艾伦,Femi Ogunbanjo,Thomas Anton,拉斯科·阿特金斯,查尔斯·巴巴洛拉,理查德·班克斯, 劳拉·伯纳德斯基,埃里克·可可,贝恩·科拉科",动作,131,2015,7.8,0.0,暂无发行公司,暂无制片公司
奇谋妙计五福星 奇謀妙計五福星,洪金宝,"洪金宝,黄炳耀","洪金宝,吴耀汉,冯淬帆,岑建勋,秦祥林,钟楚红,成龙,叶童,林正英,夏文汐,太保,元彪,李赛凤,午马",喜剧,108,1983,7.7,0.0,暂无发行公司,暂无制片公司
我的个神啊 PK,拉吉库马尔·希拉尼,"拉吉库马尔·希拉尼,阿希贾特·乔希","阿米尔·汗,安努舒卡·莎玛,桑杰·达特,博曼·伊拉尼,沙鲁巴·舒克拉,苏尚特·辛格·拉吉普特,帕里卡沙特.萨赫尼,阿马尔迪普·杰哈,瑞玛·德纳斯,迪伦德拉·德维韦迪,赛·甘德沃尔,拉姆·P·塞蒂",喜剧,139,2015,8.4,0.0,暂无发行公司,暂无制片公司
烈女镖客 Two Mules for Sister Sara,唐·希格尔,艾伯特·马尔茨,"克林特·伊斯特伍德,雪莉·麦克雷恩,曼努埃尔·法夫雷加斯",喜剧,116,1970,7.1,0.0,暂无发行公司,暂无制片公司
教宗的承继 The Two Popes,费尔南多·梅里尔斯,安东尼·麦卡滕,"安东尼·霍普金斯,乔纳森·普雷斯,胡安·米努欣,路易斯·尼科,克里斯蒂娜·巴尼加斯,玛丽亚·乌斯多,雷纳托·斯卡帕,西德尼·科尔,阿基里·布鲁尼尼,费德里科·托瑞,赫尔曼·德·席尔瓦,利桑德罗·菲克斯,利贝罗·德·瑞恩佐,威利·乔纳,索非亚·塞萨克,文森特·里奥特,塞奇莉亚·达齐,塞尔吉奥·尼古拉,洛伦佐·维格万诺,教皇本尼迪克特十六世,方济各",剧情,125,2019,8.6,0.0,暂无发行公司,暂无制片公司
工作细胞 第一季 はたらく細胞,铃木健一,"柿原优子,清水茜,铃木健一","花泽香菜,前野智昭,小野大辅,井上喜久子,长绳麻理亚,樱井孝宏,早见沙织,冈本信彦,中村悠一,千叶翔也,行成桃姬,田村睦心,乃村健次,竹内良太,市道真央,杉田智和,川澄绫子,佐藤健辅,柳田淳一,熊谷健太郎,江越彬纪,远藤绫,石川由依,吉野裕行,中原麻衣,小林大纪,松风雅也,北泽力,福岛润,山本格,兴津和幸,村中知,日野聪,石田彰,东内真理子,小松未可子,小山力也,鸟海浩辅,能登麻美子",喜剧,120,2018,8.9,0.0,暂无发行公司,暂无制片公司
加勒比海盗4：惊涛怪浪 Pirates of the Caribbean: On Stranger Tides,罗伯·马歇尔,"泰德·艾略特,特里·鲁西奥","约翰尼·德普,佩内洛普·克鲁兹,杰弗里·拉什,伊恩·麦柯肖恩,凯文·麦克纳利,山姆·克拉弗林,阿斯特丽德·伯格斯-弗瑞斯贝,斯蒂芬·格拉汉姆,凯斯·理查德兹,理查德·格雷弗斯,格雷格·埃利斯,达米恩·奥哈尔,奥斯卡·贾恩那达,安东·莱瑟,罗杰·阿拉姆,朱迪·丹奇,克里斯托弗·法里班克,保罗·巴泽利,布隆森·韦伯,理查德·汤姆森,松崎悠希,罗比·凯,斯蒂夫·艾弗茨,Ian Mercer,道比·欧帕瑞,嘉玛·沃德,塞巴斯蒂安·阿梅斯托,胡安·卡洛斯·凡希多,杰拉德·摩纳科,卢克·罗伯茨,丹尼尔·英格斯,艾米莉亚·琼斯,帕特里克·肯尼迪,Jody Halse,克利福德·罗斯,Sanya Hughes,达芙妮,Antoinette Nikprelaj,德里克·梅耶斯,金塔雷·贝尼奥拉维特,贝恩·科拉科,Elliott Crossley,Kit Farrell,尼可拉·芬恩,鲍比·霍兰德·汉顿,Harley Jay,Jeremy King,特蕾莎·马奥尼,让·皮埃尔·普拉茨,Kristen StephensonPino,哈维·沃尔什",动作,136,2011,7.7,0.0,暂无发行公司,暂无制片公司
