电影名,导演,编剧,演员,上映时间,片长,类型,评分
战狼2,吴京,"吴京,董群,刘毅","吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗,丁海峰,淳于珊珊,余男,于谦,石兆琪,海蒂·莫尼梅克,奥列格·普鲁迪乌斯,艾伦·托尼,赛尔·哈里斯,高明,王森,苇青,程愫,张永达,郭秋成,杜建桥,周冠廷,安·詹姆斯,黛安娜·希拉,孙率航,张馨月,关海龙,安妮塔·斯图尔特,特雷弗·琼斯,奥斯汀·普里斯特,克莱·方特诺特,保罗·艾力卡,丹尼尔·哈格里夫,李镇男,庄小龙,陈云志,肯尼迪",2017-07-27(中国大陆),123分钟,动作,7.1
她说：女性人生瞬间 Snatches: Moments from Women's Lives,凡妮莎·卡斯威尔,"E·V·克罗,蕾切尔·德拉希,塔尼卡·古普塔,伊念·哈里斯,特丽莎·艾科科,夏琳·詹姆斯,维姬·琼斯,艾比·摩根","萝玛拉·嘉瑞,朱迪·科默,雪莉·亨德森,丽芙·希尔,卡伦·索尼娅·塞沃尔,希欧布罕·芬内朗,安东尼娅·托马斯,科琳·斯金纳-卡特",2018-06-18(英国),暂无电影时长,剧情,9.2
激震の記録 : 永久保存版 : 映像で語りつぐ阪神・淡路大震災 : 〜失われたあの時あの場所〜,朝日放送,暂无编剧信息,暂无演员信息,1994-06-09,暂无电影时长,纪录片,暂无电影评分
迪亚特洛夫事件 The Dyatlov Pass Incident,雷尼·哈林,Vikram Weet,"吉玛·阿金森,马特·斯托克,瑞德·李察,卢克奥尔布赖特,霍莉·戈斯",2013-02-28(俄罗斯),100分钟,惊悚,6.9
瑞克和莫蒂 第二季 Rick and Morty Season 2,韦斯利·阿彻,"贾斯汀·罗兰,丹·哈萌","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,科甘-迈克尔·凯,乔丹·皮尔,杰·约翰斯顿",2015-07-26(美国),暂无电影时长,喜剧,9.8
亡命徒与天使 Outlaws and Angels,JT·莫讷,JT·莫讷,"查德·迈克尔·墨瑞,特丽·波洛,弗兰西丝·费舍,卢克·威尔逊,弗朗西斯卡·伊斯特伍德,本·布劳德,麦迪逊·贝蒂,史蒂芬·迈克尔·克扎达,雷卡·雷内,克洛伊·凯瑟琳·基姆,基思·罗尼克,卢斯·雷恩斯,弥敦·罗素,比阿特丽丝·埃尔南德斯,马蒂·林赛",2016-01-25(圣丹斯电影节),120分钟,剧情,7.5
阿黛尔的生活 La vie d'Adèle,阿布戴·柯西胥,"阿布戴·柯西胥,茱莉·马罗,加利亚·拉克鲁瓦","阿黛尔·艾克萨勒霍布洛斯,蕾雅·赛杜,萨利姆·克希乌什,热雷米·拉厄尔特,卡特琳·萨雷,奥雷利安·雷克因,莫娜·瓦尔拉芬斯,阿尔玛·佐杜洛夫斯基,安娜·卢瓦雷,本杰明·思科索,桑德尔·丰泰克",2013-05-23(戛纳电影节),179分钟,剧情,8.4
富丽秀 National Theatre Live: Follies,Dominic Cooke,James Goldman,"Julie Armstrong,Norma Atallah,Josephine Barstow,Jeremy Batt,Tracie Bennett,Di Botcher,Billy Boyle,Janie Dee,Anoushka Eaton,Liz Ewing,Geraldine Fitzgerald,Peter Forbes,Emily Goodenough,Bruce Graham,Adrian Grove,Fred Haig,Aimee Hodnett,Dawn Hope,Liz Izen,Alison Langer,Emily Langham,Sarah-Marie Maxwell,Ian McLarnon,Leisha Mollyneaux,Gemma Page,Kate Parr,Philip Quast,Edwin Ray,Gary Raymond,Adam Rhys-Charles,Jordan Shaw,Imelda Staunton,Zizi Strallen,Barnaby Thompson,Christine Tucker,Michael Vinsen,Alex Young",2017-11-16(英国),152分钟,歌舞,8.7
春满东方2020东方卫视春节晚会,苏有朋,暂无编剧信息,"苏有朋,赵薇,林心如,古巨基,高鑫,寇振海,王琳,徐幸,赵雅芝,黄恺杰,李佳琦,李玉刚,岳云鹏,李宇春,胡歌,朱一龙,靳东,张杰,徐峥,冯绍峰,阿云嘎,迪玛希·库达依别列根,韩雪,宋小宝,陈蓉,蔡国庆,俞灏明,范湉湉,徐娇,蒋梦婕,周奇,柳岩,周深,乔杉,邓超,王菲,摩登兄弟刘宇宁,于文文,陈雪凝,吴彤",2020-01-25(中国大陆),188分钟,歌舞,暂无电影评分
唐人街探案,陈思诚,"陈思诚,程佳客,刘凯,白鹤","王宝强,刘昊然,佟丽娅,陈赫,肖央,小沈阳,潘粤明,马浴柯,张子枫,赵英俊,桑平,金士杰,大鹏,张国强,李叶青,陈祉希",2015-12-31(中国大陆),135分钟,喜剧,7.6
当我们崛起时 When We Rise,格斯·范·桑特,达斯汀·兰斯·布莱克,"盖·皮尔斯,玛丽-露易丝·帕克,瑞切尔·格里菲斯,奥斯汀·麦肯齐,卡丽·普雷斯顿,艾米莉· 斯凯格斯,迈克尔·肯尼斯·威廉姆斯,凯文·麦克哈尔,迪伦·沃尔什,乌比·戈德堡,罗茜·欧唐内,丹尼斯·欧哈拉,大卫·海德·皮尔斯,罗伯·莱纳,宝蕾·佩雷特,T·R·奈特,威廉姆·赛德勒,理查德·希夫,菲利西亚·拉斯海德,玛丽·麦克科马克,艾利斯·霍华德,亨利·科泽尼,乔纳森·梅杰斯,菲奥娜·道里夫",2017-02-27(美国),暂无电影时长,剧情,9.2
疯人院,老算,"老算,孟扬","刘畅,卢杉,梅婷,刘敏涛,张棪琰,秦语,郭小炜,李牧芸,赵千紫,班嘉佳,杨新鸣,王永泉,楼佳悦,麦子云,宋家腾,王海涛",2018-08-09(中国大陆),暂无电影时长,剧情,7.7
喜欢你,许宏宇,"李媛,许伊萌,蓝白色","金城武,周冬雨,孙艺洲,奚梦瑶,杨祐宁,张国柱,高晓松,林志玲,赵英俊,海佟",2017-04-27(中国大陆),106分钟,喜剧,6.8
太平间闹鬼事件 The Haunting in Connecticut,彼特·康威尔,"亚当·西蒙,蒂姆·梅特卡夫","维吉妮娅·马德森,凯尔·加尔纳,伊莱亚斯·科泰斯,阿曼达·克鲁,马丁·唐文,Sophi Knight,泰·伍德",2009-03-27,92 分钟,剧情,6.9
来不及说我爱你,曾丽珍,"周涌,匪我思存","钟汉良,李小冉,谭凯,齐芳,孙玮,寇振海,归亚蕾,卢勇,刘大为,程学斌,王兰英,朱玲,王霓,徐小明",2010-08-30(中国大陆),暂无电影时长,剧情,8.4
极品基老伴 第二季 Vicious Season 2,埃德·拜,加里·詹内蒂,"伊恩·麦克莱恩,德里克·雅各比,弗朗西斯·德·拉·图瓦,伊万·瑞恩,玛西娅·沃伦",2015-06-01(英国),暂无电影时长,喜剧,9.4
万有引力,赵天宇,"赵天宇,阿美","文章,白百何,郭涛,张静初,戴立忍,莫文蔚,段博文,黄幻",2011-04-08(中国大陆),97分钟,剧情,6.3
落叶归根,张杨,"王要,张杨","赵本山,郭德纲,洪启文,宋丹丹,胡军,廖凡,午马,郭涛,夏雨,孙海英,刘金山",2007-01-19(中国大陆),110分钟(香港),剧情,7.8
哪吒闹海,严定宪,王树忱,"梁正晖,邱岳峰,毕克,富润生,尚华,于鼎",1979-05-19(中国大陆),65分钟,动画,9.1
谢谢... Thank You...,Noel Alejandro,Noel Alejandro,"Vince,Damian Mauro",2016(美国),21分钟,短片,6.3
月亮上的男人 Man on the Moon,米洛斯·福尔曼,"斯科特·亚历山大,拉里·卡拉斯泽斯基","金·凯瑞,格里·贝克尔,格雷森·埃里克·彭德拉,丹尼·德维托,保罗·吉亚玛提,科特妮·洛芙",1999-12-22,118 分钟,剧情,7.8
魔界妖姬 From Dusk Till Dawn 3: The Hangman's Daughter,P.J. Pesce,Álvaro Rodríguez,"马克·莱昂纳蒂,迈克尔·帕克斯,吕蓓卡·盖哈特",1999-10-31,94 分钟,惊悚,6.1
轻轻摇晃 Lilting,许泰丰,许泰丰,"本·卫肖,郑佩佩,莫文·克里斯蒂,彼得·鲍勒斯,安德鲁·梁,肖恩·索尔特,娜奥米·杨,彼得·E··霍普金斯,约翰·马修斯",2014-03-25(中国香港电影节),86分钟,剧情,7.2
危险方法 A  Dangerous Method,大卫·柯南伯格,克里斯托弗·汉普顿,"凯拉·奈特莉,维果·莫腾森,迈克尔·法斯宾德,文森特·卡索,莎拉·加顿,安德烈·赫尼克",2011-11-10(德国),99分钟,剧情,6.6
剧场版 机动战士高达00 先驱者的觉醒 劇場版 機動戦士ガンダムOO -A wakening of the Trailblazer-,水岛精二,黑田洋介,"宫野真守,三木真一郎,吉野裕行,神谷浩史,本名阳子,东地宏树,高垣彩阳,户松遥,小笠原亚里沙,高山南,滨田贤二,中村悠一,上田祐司,钉宫理惠,入野自由,斋藤千和,矶部勉,古谷彻,藤田淑子,恒松步,根谷美智子,川岛得爱,白鸟哲,梅津秀行,早水理沙,佐藤有世,松本保典,置鲇龙太郎,谷口节,小室正幸,白石凉子,游佐浩二,小形满,古岛清孝,清水美智子,奈良彻,星野贵纪,佐藤健辅,广田诗梦,胜地凉",2010-09-18,121分钟,科幻,7.3
远走高飞 Jubal,德尔默·戴夫斯,"德尔默·戴夫斯,罗素·S·休斯,保罗·韦尔曼,费利西亚·法尔","格伦·福特,欧内斯特·博格宁,罗德·斯泰格尔,Valerie French",1956-04-06,100 分钟,西部,7.1
解忧杂货店,韩杰,"宋啸,东野圭吾,孙思雨,朱思溢","王俊凯,迪丽热巴,董子健,李鸿其,董李无忧,成龙,秦昊,陈都灵,郝蕾,李梦,成泰燊,高华阳,潘斌龙,孟慧圆,孙小野",2017-12-29(中国大陆),109分钟,剧情,5.0
理智与情感 Sense and Sensibility,李安,"艾玛·汤普森,简·奥斯汀","艾玛·汤普森,凯特·温丝莱特,休·格兰特,艾伦·瑞克曼,汤姆·威尔金森,杰玛·琼斯,哈丽特·瓦尔特,埃米莉·弗朗索瓦,詹姆斯·弗雷特,伊丽莎白·斯普里格斯,罗伯特·哈迪,伊恩·布林布尔,伊莎贝尔·埃米亚斯,格雷·怀斯,亚历山大·约翰,艾美达·斯丹顿,伊莫金·斯塔布斯,休·劳瑞,阿伦·米切尔,约瑟芬·格拉德威尔,理查德·拉姆斯登,洛恩·马德森,奥利弗·福德·戴维斯,埃丽诺·麦克里迪",1995-12-04(加州首映),136分钟,剧情,8.4
诺丁山 Notting Hill,罗杰·米歇尔,理查德·柯蒂斯,"朱莉娅·罗伯茨,休·格兰特,理查德·麦凯布,瑞斯·伊凡斯,詹姆斯·德雷福斯,迪兰·莫兰,亨利·古德曼,朱利安·林希德-图特,罗蕾莱·金,约翰·斯拉普内尔,克拉克·彼得斯,尤兰达·瓦兹奎兹,米莎·巴顿,蒂姆·麦克纳尼,吉娜·麦基,艾玛·钱伯斯,休·博纳维尔,多里斯·洛夫,桑吉夫·巴哈斯卡,保罗·查希迪,艾米莉·莫迪默,萨缪尔·韦斯特,帕特里克·巴罗,安迪·德拉图尔,鲁伯特·普格特,Ann Beach,莎莉·菲利普斯,亚历克·鲍德温,Ian Boo Khoo,西蒙·卡洛,乔·考尼什,肖恩·克罗宁,欧米德·吉亚李利,迈克尔·希格斯,若昂·科斯塔·梅内塞斯,马修·莫迪恩",1999-05-21(英国),124分钟,喜剧,8.0
登月第一人 First Man,达米恩·查泽雷,"乔希·辛格,詹姆斯·汉森","瑞恩·高斯林,克莱尔·芙伊,杰森·克拉克,凯尔·钱德勒,寇瑞·斯托尔,派屈克·福吉特,克里斯托弗·阿波特,塞伦·希德,奥莉维亚·汉密尔顿,巴勃罗·施瑞博尔,谢伊·惠格姆,卢卡斯·哈斯,伊桑·恩布里,布莱恩·达西·詹姆斯,科里·迈克尔·史密斯,克里斯·斯万博格",2018-08-29(威尼斯电影节),141分钟,剧情,7.7
甜蜜与卑微 Sweet and Lowdown,伍迪·艾伦,伍迪·艾伦,"西恩·潘,萨曼莎·莫顿,Dan Moran,乌玛·瑟曼,Brian Markinson",1999-09-04,95 分钟,喜剧,7.8
K Pop Star 第二季 서바이벌 오디션 K팝스타 시즌2,朴轸永,暂无编剧信息,"朴轸永,梁铉锡,宝儿,尹道贤,李民浩",2012-11-18(韩国),暂无电影时长,音乐,8.0
老男孩 올드보이,朴赞郁,"黄肇允,林俊亨,朴赞郁,土屋加仑,岭岸信明","崔岷植,刘智泰,姜惠贞,金秉玉,吴达洙,李胜欣,尹珍序,池大汉,吴泰景,柳演锡,李代延,吴光禄,朴明申,龙伊,玛丽·德文,克里斯平·弗里曼,史蒂夫·克莱默,雪莉·琳恩,迈克尔·麦康诺希,斯蒂芬妮·社,柯克·桑顿,凯瑞·华格伦",2003-11-21(韩国),120分钟,剧情,8.2
斗士 The Fighter,大卫·O·拉塞尔,"斯科特·西尔弗,保罗·塔马西,埃瑞克·约翰逊,基斯·多灵顿","马克·沃尔伯格,克里斯蒂安·贝尔,艾米·亚当斯,梅丽莎·里奥,米奇·奥基夫,杰克·麦吉,梅利莎·麦克米金,比安卡·亨特",2010-12-17(美国),115分钟,剧情,7.9
罗马假日 Roman Holiday,威廉·惠勒,"伊安·麦克莱伦·亨特,约翰·戴顿,达尔顿·特朗勃","奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,哈特利·鲍尔,哈考特·威廉姆斯,玛格丽特·罗林斯,托里奥·卡米纳提,Paolo Carlini,Claudio Ermelli,保拉·布鲁布尼,里佐·弗雷多里佐",1953-08-20(威尼斯电影节),118分钟,剧情,9.0
三十年细说从头 三十年細說從頭,李翰祥,李翰祥,"刘永,戴良纯,邵音音,楚湘云,谷峰,李殿馨,詹森,井淼,潘冰嫦",1982-05-06(中国香港),92分钟,剧情,7.3
霹雳剑踪 霹靂劍蹤,黄文择,"九陵,廖明治,三弦,王艺婷,周郎",黄文择口白,2005-02,暂无电影时长,武侠,9.4
辣手保姆 The Babysitter,约瑟夫·麦克金提·尼彻,布莱恩·达菲尔德,"犹大·刘易斯,萨玛拉·维文,罗比·阿美尔,汉娜·梅·李,贝拉·索恩,艾米丽·阿琳·林德,安德鲁·巴切勒,道格·海利,莱丝莉·比伯,肯·马里诺,塞缪尔·吉尔伯特,扎卡里·亚力山大·赖斯,多克·达厄姆,让·克劳德·卢耶,迈尔斯·J·哈维,克里斯·维尔德,卡尔·麦克道维尔,乔纳森·贝莱",2017-10-13(美国),85分钟,喜剧,6.7
警察故事2013,丁晟,丁晟,"成龙,刘烨,景甜,殷桃,那威,刘仪伟,柳海龙,周晓鸥,于荣光,吴樾,刘佩琦,古力娜扎",2013-12-24(中国大陆),108分钟,剧情,5.8
Burn the Stage: the Movie,Jun-Soo Park,"金硕珍,闵玧其,郑号锡,金南俊,朴智旻,金泰亨,田柾国","金硕珍,闵玧其,郑号锡,金南俊,朴智旻,金泰亨,田柾国",2018-11-15(韩国),84分钟,纪录片,9.1
倚天屠龙记大结局 倚天屠龍記大結局,楚原,楚原,"尔冬升,王戎,余安安,罗烈",1978-10-27,Hong Kong: 98 分钟,动作,6.2
阿拉丁 Aladdin,盖·里奇,"盖·里奇,约翰·奥古斯特","梅纳·玛索德,娜奥米·斯科特,威尔·史密斯,马尔万·肯扎里,纳维德·内加班,纽曼·阿卡,艾伦·图代克,比利·马格努森,纳西姆·帕杜雷德,卡米尔·雷米泽斯基,乔伊·安沙,贾格·帕特尔,贝恩·科拉科,凯西·克莱尔,威尔·布拉格罗夫,希滕·珀泰尔,阿米尔鲍特罗斯,埃里克·可可,弗兰·塔格,阿玛尔·阿达蒂亚,乔丹·A·纳什,通恰伊·古奈什,塞尔哈特·梅汀,凯文·马塔迪恩,保利娜·博内瓦,塔希尔·布尔汉,亚当·柯林斯",2019-05-24(美国/中国大陆),128分钟,爱情,7.5
鬼遮眼 Oculus,迈克·弗拉纳根,"迈克·弗拉纳根,杰夫·霍华德","凯伦·吉兰,布伦顿·思韦茨,凯缇·萨克霍夫,罗利·科奇瑞恩,安娜丽丝·巴索,加雷特·瑞安,詹姆斯·拉夫尔提,米盖尔·桑多瓦尔,凯特·西格尔,斯科特·格雷厄姆,迈克尔·J·福蒂克,凯瑟琳·帕克,贾斯汀·戈登,鲍勃·格伯特",2014-04-11,104分钟,恐怖,6.8
Naked Gun,Eddie Dew,"Guy Tedesco,Jack Lewis,Ron Ormond","威拉德·帕克,玛拉·科黛,巴顿·麦克莱恩",1956-11-01,69 分钟,西部,7.9
成龙历险记 第一季 Jackie Chan Adventures Season 1,Frank Squillace,"成龙,詹姆士·谢,夏野萨博","成龙,詹姆士·谢,夏野萨博",2000-09-09(美国),暂无电影时长,喜剧,8.8
星际迷航3：超越星辰 Star Trek Beyond,林诣彬,"西蒙·佩吉,道格·郑,吉恩·罗登贝瑞,罗伯托·奥奇,约翰·D·佩恩,派特里克·麦凯","克里斯·派恩,扎克瑞·昆图,佐伊·索尔达娜,西蒙·佩吉,安东·叶利钦,伊德里斯·艾尔巴,索菲亚·波多拉,卡尔·厄本,索瑞·安达斯鲁,约翰·赵,迪普·罗伊,莉迪亚·威尔逊,乔·塔斯利姆,约瑟夫·盖特,卡洛·安切洛蒂,亚当·迪马克,梅丽莎·罗斯伯格,阿什丽·艾德纳,贾森·马修·史密斯",2016-09-02(中国大陆),122分钟(中国大陆/美国),动作,7.4
危情瘾难耐 Addicted,比勒·沃道夫,"Christina Welsh,厄尼·巴巴拉什","卡特琳娜·格兰厄姆,波瑞斯·科乔,威廉·莱维,莎朗·莉尔,塔莎·史密斯,马丽娅豪厄尔,泰森·贝克福德",2014-10-10(美国),105分钟,剧情,5.0
我和X先生 第二季,张文爽,"尹敬旺,何钰颖","周艺博,吴一凡,李感,张倍瑜,温心,王秋翰",2015-11-08(中国大陆),暂无电影时长,剧情,7.6
天使 エンジェル,服部光則,"岡野有紀,永田健二","菅野美寿紀,池田一視,冴島奈緒,川奈由依,三枝美憂,松田ちゆり",1997-02-14(日本),70分钟,喜剧,暂无电影评分
绝命毒师  第三季 Breaking Bad Season 3,布莱恩·科兰斯顿,文斯·吉里根,"布莱恩·科兰斯顿,亚伦·保尔,安娜·冈,吉安卡罗·埃斯波西托,迪恩·诺里斯,贝琪·勃兰特,大卫·科斯塔贝尔",2010-03-21(美国),暂无电影时长,剧情,9.2
钢铁侠 Iron Man,乔恩·费儒,"阿特·马库姆,马特·霍洛维,马克·弗格斯,霍克·奥斯比","小罗伯特·唐尼,泰伦斯·霍华德,格温妮斯·帕特洛,杰夫·布里吉斯,莱丝莉·比伯,肖恩·托布 ,保罗·贝坦尼,乔恩·费儒,克拉克·格雷格",2008-04-30(中国大陆),126 分钟,动作,8.3
射雕英雄传续集 射雕英雄傳續集,张彻,倪匡,"傅声,郭佑华,李修贤,李艺民,郭追",1978-05-13(中国香港),111分钟,剧情,6.1
训练日 Training Day,安东尼·福奎阿,大卫·阿耶,"丹泽尔·华盛顿,伊桑·霍克,斯科特·格伦,汤姆·贝伦杰,哈里斯·于林,伊娃·门德斯,德瑞博士,史努比狗狗",2001-10-05(美国),122分钟,剧情,7.9
犬之岛 Isle of Dogs,韦斯·安德森,"韦斯·安德森,罗曼·科波拉,詹森·舒瓦兹曼,野村训市","布莱恩·科兰斯顿,爱德华·诺顿,科宇·兰金,列维·施瑞博尔,比尔·默瑞,杰夫·高布伦,鲍勃·巴拉班,野村训市,格蕾塔·葛韦格,斯嘉丽·约翰逊,蒂尔达·斯文顿,弗兰西斯·麦克多蒙德,罗曼·科波拉,卡拉·海沃德,高山明,伊藤晃,哈威·凯特尔,F·默里·亚伯拉罕,小野洋子,渡边谦,夏木真理,费舍·史蒂芬斯,村上虹郎,考特尼·万斯,安杰丽卡·休斯顿,野田洋次郎,山田孝之,秋元梢,松田翔太,松田龙平,池田依来沙,杰克·莱恩,育乃介,儿玉太智,卡琳·奥克索,弗兰克·伍德,爱德华·博奇",2018-04-20(中国大陆),97分钟(中国大陆),喜剧,8.3
世界奇妙物语 2016年春之特别篇 世にも奇妙な物語 '16春の特別編,佐藤祐市,"徳尾浩司,高山直也,宇山佳佑","西岛秀俊,洼田正孝,松重丰,高桥一生,佐佐木希,浦井健治,福澤朗",2016-05-28(日本),107分钟,科幻,7.7
我脑中的橡皮擦 내 머리 속의 지우개,李宰汉,"李宰汉,Yeong-ha Kim","郑雨盛,孙艺珍,白钟学,金富善,金重基,善智贤",2004-11-05(韩国),117分钟,剧情,7.9
美国灾难 American Disaster,迈克尔·麦克格雷,暂无编剧信息,暂无演员信息,暂无上映时间,暂无电影时长,剧情,暂无电影评分
鬼乱5 ห้าแพร่ง,班庄·比辛达拿刚,"Vanridee Pongsittisak,Nitis Napichayasutin,巴域·普瑞克潘也,索分·沙达菲斯","吉拉育·拉翁马尼,雷·麦克唐纳,春蓬·塞皮塔克,Apasiri Nitibhon,翁韦德·答奴翁,甲差·扁威提,莎琳雷特·托马斯,查理·瑞纳,披拉猜·伦波,玛莎·华顿娜柏妮",2009-09-09,126分钟,恐怖,7.2
小欢喜,汪俊,黄磊,"黄磊,海清,陶虹,王砚辉,沙溢,咏梅,周奇,李庚希,郭子凡,刘家祎,任重,吴施乐,徐梵溪,王栎鑫,钟丽丽,金丰,白玉,郭广平,焦体怡,杨青,徐敏,李野萍,王晴,杨雨婷,冯晖,金溪,朱铁",2019-07-31(中国大陆),暂无电影时长,剧情,8.4
一条安达鲁狗 Un chien andalou,路易斯·布努埃尔,"萨尔瓦多·达利,路易斯·布努埃尔","西蒙妮·玛勒伊,Pierre Batcheff,路易斯·布努埃尔,萨尔瓦多·达利,罗贝尔·奥梅",1929-06-06(法国),16分钟,短片,8.2
Re：从零开始的异世界生活 Re:ゼロから始める異世界生活,渡边政治,"长月达平,横谷昌宏,中村能子,梅原英司","小林裕介,高桥李依,内山夕实,赤崎千夏,水濑祈,村川梨衣,新井里美,中村悠一,能登麻美子,子安武人,堀内贤雄,堀江由衣,江口拓也,松冈祯丞,井口裕香,田村由加莉,植田佳奈,藤原启治,麦人",2016-04-03(日本),暂无电影时长,动画,8.1
咒怨 呪怨,清水崇,清水崇,"奥菜惠,伊东美咲,上原美佐,市川由衣,津田宽治,藤贵子",2002-10-18(Screamfest恐怖电影节),92 分钟,悬疑,7.4
狼牙,李忠志,冯志强,"吴京,方力申,寇占文,郑中基,卢靖姗,森美,许绍雄,青山伦子,林雪,姜宝成,郑浩南,田启文,惠英红,黄伟亮",2008-12-04(中国香港),89分钟,动作,6.3
